Nom,Province,Identification Climat,Identification Station,Identification OMM,Identification TC,Latitude (degres decimaux),Longitude (degres decimaux),Latitude,Longitude,Altitude (m),Annee de debut,Annee de fin,Annee de debut HLY,Annee de fin HLY,Annee de debut DLY,Annee de fin DLY,Annee de debut MLY,Annee de fin MLY
BON CONSEIL EXP ST,QUEBEC,7020820,5321,,,46.0,-72.4,460000000,-722400000,76.2,1960,1960,,,1960.0,1960.0,1960.0,1960.0
BONSECOURS,QUEBEC,7020828,5322,,,45.4,-72.27,452400000,-721600000,297.2,1967,2021,,,1967.0,2021.0,1967.0,2018.0
BRIGHAM,QUEBEC,7020833,5323,,,45.25,-72.85,451500000,-725100000,91.4,1968,1972,,,1968.0,1972.0,1968.0,1972.0
BRITANNIA MILLS,QUEBEC,7020835,5324,,,45.63,-72.82,453800000,-724900000,68.6,1968,1975,,,1968.0,1975.0,1968.0,1975.0
BROME,QUEBEC,7020840,5325,,,45.18,-72.57,451100000,-723400000,205.7,1875,2014,,,1875.0,2014.0,1875.0,2014.0
BROMONT,QUEBEC,7020850,5326,,,45.3,-72.63,451800000,-723800000,175.3,1968,1978,,,1968.0,1978.0,1968.0,1978.0
BROMPTONVILLE,QUEBEC,7020860,5327,,,45.48,-71.95,452900000,-715700000,130.0,1957,2021,,,1957.0,2021.0,1957.0,2018.0
BROUGHTON STATION,QUEBEC,7020865,5328,,,46.2,-71.12,461200000,-710700000,373.4,1965,1981,,,1965.0,1981.0,1965.0,1981.0
BULWER,QUEBEC,7020877,5329,,,45.35,-71.7,452100000,-714200000,288.0,1965,1982,,,1965.0,1982.0,1965.0,1982.0
BURROUGHS FALLS,QUEBEC,7020880,5330,,,45.15,-72.0,450900000,-720000000,210.3,1952,1954,,,1952.0,1954.0,1952.0,1954.0
BURY,QUEBEC,7020884,5331,,,45.48,-71.52,452900000,-713100000,289.6,1960,1964,,,1960.0,1964.0,1960.0,1963.0
BURY,QUEBEC,7020885,5332,,,45.52,-71.48,453100000,-712900000,378.0,1970,1994,,,1970.0,1994.0,1970.0,1994.0
BURY (COLLEGE D'ALZON),QUEBEC,7020888,5333,,,45.48,-71.5,452900000,-713000000,289.6,1963,1971,,,1963.0,1971.0,1963.0,1968.0
BARNSTON,QUEBEC,7020DDP,5307,,,45.08,-71.88,450500000,-715300000,445.0,1965,1982,,,1965.0,1982.0,1965.0,1982.0
CHARTIERVILLE,QUEBEC,7021320,5334,,,45.28,-71.2,451700000,-711200000,518.2,1951,1990,,,1951.0,1990.0,1951.0,1990.0
CHRISTMAS BROOK NORTH,QUEBEC,7021460,5335,,,45.42,-71.37,452500000,-712200000,,1973,1978,,,1973.0,1978.0,1973.0,1978.0
CHUTE HEMMINGS,QUEBEC,7021580,5336,,,45.87,-72.45,455200000,-722700000,86.9,1931,1986,,,1931.0,1986.0,1931.0,1984.0
CLIFTON RIVER,QUEBEC,7021718,5337,,,45.3,-71.57,451800000,-713400000,342.9,1973,1981,,,1973.0,1981.0,1973.0,1981.0
CLIFTON RIVER SOUTH,QUEBEC,7021719,5338,,,45.23,-71.5,451400000,-713000000,,1973,1981,,,1973.0,1981.0,1973.0,1981.0
COATICOOK,QUEBEC,7021840,5339,,,45.15,-71.8,450900000,-714800000,259.1,1949,2021,,,1949.0,2021.0,1949.0,2018.0
COMPTON STATION,QUEBEC,7021916,5340,,,45.2,-71.85,451200000,-715100000,297.2,1965,1966,,,1965.0,1966.0,1965.0,1966.0
COMPTON STATION CDA FE,QUEBEC,7021917,5341,,,45.22,-71.87,451300000,-715200000,312.4,1960,1975,,,1960.0,1975.0,1960.0,1975.0
COOKSHIRE,QUEBEC,7021918,5342,,,45.42,-71.63,452500000,-713800000,212.8,1964,1980,,,1964.0,1980.0,1964.0,1980.0
COTE ST LUC,QUEBEC,7021945,5343,,,45.45,-73.67,452700000,-734000000,48.8,1960,1963,,,1960.0,1963.0,1960.0,1963.0
COVEY HILL,QUEBEC,7021950,42605,,MCW,45.01,-73.87,450050000,-735224000,262.0,2004,2007,2004.0,2007.0,,,,
CRANBOURNE,QUEBEC,7021952,5344,,,46.38,-70.7,462300000,-704200000,,1875,1890,,,1875.0,1890.0,1875.0,1890.0
DANVILLE,QUEBEC,7021954,5345,,,45.82,-71.98,454900000,-715900000,190.0,1871,2021,,,1871.0,2021.0,1871.0,2018.0
DISRAELI,QUEBEC,7022000,5346,,,45.92,-71.32,455500000,-711900000,350.0,1908,1991,,,1908.0,1991.0,1908.0,1991.0
DOUANES ARMSTRONG,QUEBEC,7022127,5347,,,45.82,-70.4,454900000,-702400000,563.9,1965,1966,,,1965.0,1966.0,1965.0,1966.0
DRUMMONDVILLE,QUEBEC,7022160,5348,,,45.88,-72.48,455300000,-722900000,82.3,1913,2021,,,1913.0,2021.0,1913.0,2018.0
DUNHAM,QUEBEC,7022245,5350,,,45.1,-72.82,450600000,-724900000,204.2,1961,1962,,,1961.0,1962.0,1962.0,1962.0
DUNHAM,QUEBEC,7022246,5351,,,45.15,-72.82,450900000,-724900000,121.0,1968,1985,,,1968.0,1985.0,1968.0,1985.0
